카드ID,카드명,속성,효과타입,효과값,지속시간,코스트소모,등장빈도,조건부등장,스토리테마,설명문구
ATK_001,안티바이러스 스캔,공격,공격력 증가,+3,영구,2,자주,-,시스템 검사,“바이러스를 삭제해 공격력이 강화된다.”
ATK_002,강제 종료,공격,즉시 피해,ATK × 2,1회,4,보통,-,프로세스 강제 종료,“강제 종료 명령어로 적을 크게 타격한다.”
HP_001,보안 업데이트,체력,최대 HP 증가,+10,영구,2,자주,-,패치 설치,“최신 보안 업데이트로 체력이 향상된다.”
HP_002,긴급 복구,체력,체력 회복,+20,즉시,3,보통,HP ≤ 30,복구 모드,“시스템 복구 모드로 체력이 회복된다.”
DEF_001,방화벽 설치,방어,방어력 증가,+3,스테이지 한정,2,보통,-,방화벽 차단,“방화벽을 설치해 피해를 줄인다.”
DEF_002,이중 인증,방어,피해 감소,50% ↓,이번 턴,3,희귀,-,2FA 인증,“이중 인증으로 공격을 차단한다.”
EVA_001,VPN 은신,회피,회피율 증가,0.02,스테이지 한정,1,희귀,-,VPN 터널링,“VPN으로 신호를 숨겨 공격을 회피한다.”
EVA_002,익명화 프로토콜,회피,공격 1회 무효,100%,1회,2,전설,-,TOR 네트워크,“익명화 프로토콜이 당신을 완벽히 숨긴다.”
COST_001,캐시 정리,코스트,카드 코스트 감소,-2,이번 턴,0,보통,-,메모리 최적화,“캐시를 정리해 자원을 절약한다.”
COST_002,리소스 최적화,코스트,코스트 회복,+3,즉시,0,자주,COST ≤ 3,시스템 최적화,“시스템 리소스를 확보했다.”
